Year,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Std,45.34195509,985.7224511,384.8173588,1067.874258,400.8401034,1767.057327,1192.35076,723.851405,406.7853216,1295.029532,367.1153347,338.1297894,664.7391197,355.8138325,185.4342862,273.4469644,886.0695999,164.6382843,1269.468718,959.9541302,2269.216189,1224.629786,757.079668,573.1440456,170.2987561,456.8880877,902.7191295,559.0244325,460.8256973,1770.370114,482.4738328,458.4675701,334.2410335,566.0287707,619.8545949,616.1545758,481.2991285,360.8581977,941.7226734,885.2192658,1387.387933,318.6646806,717.8579833,185.0453438,None
Avg,74.86712329,793.6410959,318.660274,694.7650273,300.1791781,1183.476712,1265.654795,821.1612022,425.8493151,719.1452055,313.8419178,309.2584699,492.3205479,280.1545205,164.190411,202.2715847,690.4,167.7561644,948.2383562,871.136612,969.6520548,998.9260274,868.230137,582.1612022,132.4035616,411.0010959,807.0358904,489.697541,435.7249315,1251.760548,410.383726,411.8166667,269.3267945,462.8872603,768.8882192,434.2009016,326.5160548,169.6244932,404.6820274,676.9865847,1193.436438,255.2330685,565.7504384,168.0730055,None
CV,0.605632394,1.242025465,1.20761008,1.537029378,1.335336135,1.493106969,0.942082127,0.881497327,0.955233007,1.800790052,1.169746021,1.093356601,1.350216079,1.270062792,1.129385603,1.35188027,1.283414832,0.981414214,1.338765417,1.101955901,2.340237591,1.225946419,0.871980407,0.984510894,1.286209781,1.111646884,1.118561318,1.141570839,1.057606907,1.414304131,1.175665121,1.113280756,1.241024066,1.222822098,0.806169973,1.419054114,1.474044297,2.127394405,2.327068191,1.307587603,1.162515144,1.24852427,1.268859792,1.100981941,None
FA_Mag,None,None,183.9992462,1039.912258,None,None,209.9911791,None,None,128.9919562,168.9932032,None,None,None,50.99786872,85.9994884,79.99740742,None,None,None,None,215.9996649,None,140.977385,114.0051747,501.8625953,185.969444,98.99727863,103.0000183,487.9988452,None,777.9894777,181.0025556,32.89408976,754.9269609,None,None,None,191.9969906,691.993895,485.9910787,None,107.9985383,52.80226267,None
FA_Tim,None,None,61,24,None,None,23,None,None,24,30,None,None,None,35,52,17,None,None,None,None,31,None,29,75,52,39,28,24,37,None,19,33,16,24,None,None,None,25,70,16,None,60,20,None
FA_Dur,None,None,13,7,None,None,4,None,None,6,5,None,None,None,5,2,3,None,None,None,None,8,None,5,9,4,3,5,3,9,None,6,6,2,4,None,None,None,5,5,7,None,4,6,None
Wet_BFL_Mag_10,58,586.2,186,294.2,155.7,735.6,697.6,645.5,311,338.4,376.8,254,227.8,126.9,113.9,171.6,503.2,122,816.7,566.4,828,969.4,518.8,747,116,319,620,298.8,317,291.6,164,272.4,169,377.3,488,279,257.6,93.16,303,1037,642.8,130.9,408.8,122,None
Wet_BFL_Mag_50,86,1150,541,733,479,1305,1510,1075,471.5,1020,690,468,315,280.5,267,418,1280,240.5,1520,1400,2040,1580,1270,1135,224,574.5,1240,756,533.5,808,561,572,381,580.5,1070,646,427,473,612,1560,1700,299.5,924,223.5,None
Wet_Tim_Water,37,49,95,37,56,40,49,29,24,100,112,52,39,17,96,121,103,57,91,58,44,90,44,94,129,58,69,57,62,53,31,76,79,88,57,107,47,127,53,100,66,36,96,63,None
Wet_BFL_Dur,37,49,95,37,56,40,49,29,24,100,112,52,39,17,96,121,103,57,91,58,44,90,44,94,129,58,69,57,62,53,31,76,79,88,57,107,47,127,53,100,66,36,96,63,None
Peak_2,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,None
Peak_5,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,10076,None
Peak_10,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,13040,None
Peak_Dur_2,None,6,None,5,None,15,19,2,None,12,None,None,1,1,None,None,5,None,11,5,12,8,None,None,None,None,4,1,None,16,None,None,None,1,None,1,1,None,4,4,15,None,1,None,None
Peak_Dur_5,None,None,None,2,None,3,None,None,None,1,None,None,None,None,None,None,None,None,1,None,4,2,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None
Peak_Dur_10,None,None,None,None,None,1,None,None,None,1,None,None,None,None,None,None,None,None,None,None,3,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None
Peak_Fre_2,None,2,None,1,None,3,7,1,None,2,None,None,1,1,None,None,2,None,6,2,3,2,None,None,None,None,3,1,None,4,None,None,None,1,None,1,1,None,1,4,5,None,1,None,None
Peak_Fre_5,None,None,None,1,None,2,None,None,None,1,None,None,None,None,None,None,None,None,1,None,1,1,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None
Peak_Fre_10,None,None,None,None,None,1,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None
SP_Mag,262,1920,1520,3210,866,7780,4830,1650,1900,4570,1100,720,1930,1060,672,1690,4600,787,1760,2700,21500,2390,1610,1770,1040,2140,2300,1470,2620,10700,1480,3000,1160,2800,1800,2910,1060,3690,4380,2380,4080,1300,2510,517,None
SP_Tim,256,186,231,154,216,148,244,245,200,149,222,253,176,247,240,204,247,225,261,235,97,257,261,240,231,200,245,220,234,96,172,234,233,252,268,212,224,164,136,198,175,196,211,247,None
SP_Dur,70,121,46,138,61,149,75,67,97,128,63,39,122,42,48,100,68,55,63,51,165,64,48,74,37,108,50,88,65,196,107,80,59,67,59,77,49,103,131,82,122,83,96,39,None
SP_ROC,0.0625,0.073432299,0.066508314,0.050933933,0.071279295,0.059925094,0.055057638,0.043751709,0.059125964,0.064277353,0.055465074,0.069046607,0.060855263,0.070422535,0.084219858,0.073170732,0.059326295,0.067251462,0.066801619,0.055173913,0.047952494,0.060448881,0.053333333,0.068552775,0.104651163,0.065340909,0.060344828,0.067729084,0.071428571,0.055718954,0.056409523,0.056179775,0.07035284,0.069823454,0.059171598,0.077279794,0.062376238,0.059249532,0.052408427,0.062415197,0.065431718,0.069768951,0.065431627,0.085858586,None
DS_Mag_50,15,97,24,40.5,13,85.5,202,51.5,46,90,18,19,25,33,22,53,53,9.9,61,45,87,79,73,79,5.1,14.2,70.75,24.3,29.3,54.4,27.9,39.1,16.9,48.85,95.2,22.6,46.35,8.015,7.57,31.4,60,14.4,43.55,None,None
DS_Mag_90,47.2,155,132,75,28.4,198.1,261.5,96.5,187.4,159,37,35,47,62,114.6,158.6,74,35.2,86,100.7,227.7,140.2,224,103,8.7,75.86,126,93.4,198.6,79.38,172.6,144,66,365.2,127,57.9,56.9,72.81,240.2,520.8,76.38,122.4,56.59,None,None
DS_Tim,326,307,277,292,277,297,319,312,297,277,285,292,298,289,288,304,315,280,324,286,262,321,309,314,268,308,295,308,299,292,279,314,292,319,327,289,273,267,267,280,297,279,307,286,None
DS_Dur_WS,89,154,126,130,129,118,76,78,169,201,133,113,85,173,199,165,108,177,100,124,194,89,151,181,156,127,128,120,120,105,163,131,162,104,146,124,220,152,199,152,105,183,122,None,None
