Year,Std,Avg,CV,FA_Mag,FA_Tim,FA_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim_Water,Wet_BFL_Dur,Peak_2,Peak_5,Peak_10,Peak_Dur_2,Peak_Dur_5,Peak_Dur_10,Peak_Fre_2,Peak_Fre_5,Peak_Fre_10,SP_Mag,SP_Tim,SP_Dur,SP_ROC,DS_Mag_50,DS_Mag_90,DS_Tim,DS_Dur_WS
1942,711.2441744,707.8082192,1.004854359,None,None,None,577.2,890,57,57,4710,11140,13630,None,None,None,None,None,None,1850,252,56,0.04664723,71,94,308,100
1943,838.7736887,831.2876712,1.009005327,None,None,None,593,1335,42,42,4710,11140,13630,2,None,None,2,None,None,2110,206,105,0.042417311,120,163.4,311,167
1944,192.1469341,232.5491803,0.826263648,189.9238735,25,3,181,350,112,112,4710,11140,13630,None,None,None,None,None,None,1060,225,69,0.035294118,64,180.8,294,149
1945,435.080991,404.8438356,1.074688442,469.9550521,34,3,263,453,77,77,4710,11140,13630,None,None,None,None,None,None,1790,228,79,0.044493937,54.5,144.8,307,102
1946,688.1805489,632.2876712,1.088397861,614.0163065,30,7,322,762,43,43,4710,11140,13630,2,None,None,1,None,None,1710,234,58,0.050945378,77,129,292,117
1947,290.5972215,302.4410959,0.960839071,None,None,None,172,405,43,43,4710,11140,13630,None,None,None,None,None,None,1110,218,75,0.054726368,68,168.8,293,159
1948,701.4975973,487.6256831,1.438598543,634.0588698,16,3,276.8,451,86,86,4710,11140,13630,2,None,None,1,None,None,2100,253,48,0.071455094,114,228.4,301,202
1949,461.2945441,399.2054795,1.155531594,215.9882152,34,7,421,815,137,137,4710,11140,13630,None,None,None,None,None,None,2300,228,70,0.054754735,61,89,298,171
1950,511.0925613,473.739726,1.078846745,81.84104889,41,5,454.5,969,103,103,4710,11140,13630,None,None,None,None,None,None,1560,239,67,0.052364329,62,79,306,81
1951,1078.72202,924.6328767,1.166648999,None,None,None,660,1070,21,21,4710,11140,13630,4,None,None,3,None,None,1300,242,61,0.039711191,63,115,303,101
1952,979.0345042,1019.39071,0.960411444,199.9925081,23,8,379,1365,38,38,4710,11140,13630,2,None,None,1,None,None,2610,254,51,0.073313783,106,239.5,305,146
1953,1306.902592,954.9205479,1.368598251,613.9753229,67,7,233.6,1800,85,85,4710,11140,13630,6,2,None,3,1,None,12400,114,199,0.052943008,113,144,313,91
1954,820.6893759,799.7835616,1.02613934,None,None,None,420,1205,38,38,4710,11140,13630,3,None,None,2,None,None,1820,234,60,0.052631579,93,113,294,107
