"Date","Measured Date","Depth"," ","W.C."," ","Density"
"5/1955","02-May-1955","22.4","","9.5","","42%"
"2/1956","05-Feb-1956","57.9","","20.2","","35%"
"3/1956","02-Mar-1956","92.9","","30.6","","33%"
"4/1956","30-Mar-1956","66.8","","29.0","","43%"
"5/1956","01-May-1956","25.8","","11.6","","45%"
"2/1957","05-Feb-1957","33.3","","8.6","","26%"
"4/1957","02-Apr-1957","33.6","","14.0","","42%"
"5/1957","01-May-1957","9.3","","4.1","","44%"
"3/1958","26-Feb-1958","53.4","","21.4","","40%"
"4/1958","27-Mar-1958","65.2","","24.0","","37%"
"5/1958","02-May-1958","46.2","","19.8","","43%"
"2/1959","31-Jan-1959","31.9","","12.0","","38%"
"3/1959","24-Feb-1959","64.6","","21.7","","34%"
"4/1959","02-Apr-1959","42.9","","19.5","","45%"
"5/1959","06-May-1959","0.0","","0.0","","0%"
"3/1960","24-Feb-1960","48.4","","18.0","","37%"
"4/1960","03-Apr-1960","33.6","","15.4","","46%"
"5/1960","02-May-1960","10.4","","4.5","","43%"
"2/1961","04-Feb-1961","22.0","","8.2","","37%"
"3/1961","02-Mar-1961","21.6","","6.3","","29%"
"4/1961","28-Mar-1961","49.0","","17.4","","36%"
"5/1961","27-Apr-1961","22.4","","9.2","","41%"
"2/1962","28-Jan-1962","35.7","","10.0","","28%"
"4/1962","27-Mar-1962","76.4","","28.8","","38%"
"5/1962","26-Apr-1962","29.8","","13.0","","44%"
"2/1963","28-Jan-1963","2.0","","1.0","","50%"
"3/1963","26-Feb-1963","0.0","","0.0","","0%"
"4/1963","04-Apr-1963","23.8","","6.6","","28%"
"5/1963","02-May-1963","20.0","","8.4","","42%"
"2/1964","30-Jan-1964","33.4","","9.6","","29%"
"3/1964","27-Feb-1964","27.0","","9.0","","33%"
"4/1964","04-Apr-1964","24.0","","9.8","","41%"
"5/1964","05-May-1964","2.9","","0.7","","24%"
"2/1965","02-Feb-1965","32.6","","12.0","","37%"
"3/1965","25-Feb-1965","27.4","","10.7","","39%"
"4/1965","31-Mar-1965","16.4","","7.9","","48%"
"5/1965","28-Apr-1965","9.9","","4.3","","43%"
"2/1966","02-Feb-1966","64.1","","20.6","","32%"
"3/1966","28-Feb-1966","70.6","","22.2","","31%"
"4/1966","30-Mar-1966","54.3","","22.0","","41%"
"5/1966","02-May-1966","10.9","","5.0","","46%"
"2/1967","02-Feb-1967","46.6","","15.2","","33%"
"3/1967","28-Feb-1967","38.1","","13.9","","36%"
"4/1967","29-Mar-1967","49.6","","18.1","","36%"
"5/1967","02-May-1967","64.3","","23.3","","36%"
"6/1967","31-May-1967","4.8","","2.2","","46%"
"2/1968","06-Feb-1968","60.0","","18.2","","30%"
