"Date","Measured Date","Depth"," ","W.C."," ","Density"
"4/1951","02-Apr-1951","51.8","","25.8","","50%"
"4/1952","04-Apr-1952","131.1","","62.4","","48%"
"4/1953","02-Apr-1953","77.5","","36.8","","47%"
"4/1954","01-Apr-1954","65.8","","32.6","","50%"
"4/1955","04-Apr-1955","64.4","","23.5","","36%"
"4/1956","05-Apr-1956","85.5","","41.1","","48%"
"4/1957","04-Apr-1957","36.3","","18.0","","50%"
"4/1958","05-Apr-1958","116.1","","43.5","","37%"
"5/1975","07-May-1975","90.8","","45.0","","50%"
"4/1976","25-Mar-1976","76.1","","29.1","","38%"
"2/1977","28-Jan-1977","15.1","","4.1","","27%"
"4/1977","31-Mar-1977","37.8","","16.4","","43%"
"2/1978","27-Jan-1978","44.5","","16.4","","37%"
"3/1978","27-Feb-1978","51.4","","22.9","","45%"
"4/1978","28-Mar-1978","40.9","","19.9","","49%"
