"Date","Measured Date","Depth"," ","W.C."," ","Density"
"2/1946","28-Jan-1946","70.6","","27.8","","39%"
"3/1946","01-Mar-1946","73.9","","31.7","","43%"
"4/1946","13-Apr-1946","71.7","","32.8","","46%"
"2/1947","02-Feb-1947","34.2","","11.2","","33%"
"4/1947","01-Apr-1947","58.0","","23.6","","41%"
"2/1948","02-Feb-1948","16.5","","6.4","","39%"
"3/1948","29-Feb-1948","23.1","","9.8","","42%"
"4/1948","27-Mar-1948","50.8","","19.4","","38%"
"5/1948","05-May-1948","58.3","","28.8","","49%"
"2/1949","29-Jan-1949","41.1","","11.4","","28%"
"3/1949","27-Feb-1949","63.3","","22.7","","36%"
"4/1949","29-Mar-1949","97.8","","37.6","","38%"
"5/1949","02-May-1949","50.6","","25.2","","50%"
"2/1950","02-Feb-1950","46.6","","16.3","","35%"
"3/1950","01-Mar-1950","41.2","","19.7","","48%"
"4/1950","01-Apr-1950","53.0","","24.8","","47%"
"5/1950","05-May-1950","45.1","","21.6","","48%"
"2/1951","01-Feb-1951","42.7","","17.9","","42%"
"3/1951","28-Feb-1951","57.4","","23.6","","41%"
"4/1951","30-Mar-1951","51.8","","24.2","","47%"
"5/1951","30-Apr-1951","22.0","","8.4","","38%"
"3/1952","27-Feb-1952","102.0","","44.7","","44%"
"4/1952","28-Mar-1952","107.3","","52.4","","49%"
"5/1952","03-May-1952","69.4","","35.7","","51%"
"2/1953","24-Jan-1953","69.3","","31.9","","46%"
"3/1953","28-Feb-1953","49.8","","25.1","","50%"
"4/1953","28-Mar-1953","79.6","","35.8","","45%"
"5/1953","25-Apr-1953","61.2","","32.3","","53%"
"2/1954","30-Jan-1954","70.8","","26.4","","37%"
"3/1954","27-Feb-1954","76.2","","33.6","","44%"
"4/1954","01-Apr-1954","89.4","","40.2","","45%"
"5/1954","01-May-1954","60.6","","30.8","","51%"
"2/1955","27-Jan-1955","53.6","","20.0","","37%"
"3/1955","23-Feb-1955","48.4","","20.2","","42%"
"4/1955","04-Apr-1955","47.1","","21.2","","45%"
"5/1955","02-May-1955","53.0","","25.3","","48%"
"2/1956","05-Feb-1956","91.9","","38.9","","42%"
"4/1956","30-Mar-1956","100.2","","49.0","","49%"
"5/1956","01-May-1956","70.1","","36.9","","53%"
"2/1957","05-Feb-1957","31.4","","9.8","","31%"
"4/1957","02-Apr-1957","63.6","","28.2","","44%"
"3/1958","26-Feb-1958","101.2","","41.3","","41%"
"4/1958","27-Mar-1958","125.8","","53.5","","43%"
"5/1958","02-May-1958","112.9","","57.5","","51%"
"2/1959","31-Jan-1959","50.4","","20.7","","41%"
"3/1959","24-Feb-1959","97.7","","35.7","","37%"
"4/1959","02-Apr-1959","73.6","","36.8","","50%"
"3/1960","24-Feb-1960","54.5","","23.2","","43%"
"4/1960","03-Apr-1960","49.4","","24.3","","49%"
"5/1960","02-May-1960","36.9","","18.6","","50%"
"2/1961","04-Feb-1961","43.9","","18.8","","43%"
"3/1961","02-Mar-1961","55.1","","24.1","","44%"
"4/1961","28-Mar-1961","83.9","","34.2","","41%"
"5/1961","27-Apr-1961","64.9","","31.2","","48%"
"2/1962","28-Jan-1962","39.7","","13.6","","34%"
"4/1962","27-Mar-1962","94.4","","38.5","","41%"
"5/1962","26-Apr-1962","42.8","","21.2","","50%"
"2/1963","28-Jan-1963","6.3","","2.4","","38%"
"3/1963","26-Feb-1963","3.0","","1.1","","37%"
"4/1963","04-Apr-1963","28.4","","8.7","","31%"
"5/1963","02-May-1963","43.9","","21.3","","49%"
"2/1964","30-Jan-1964","48.6","","14.4","","30%"
"3/1964","27-Feb-1964","39.2","","15.8","","40%"
"4/1964","04-Apr-1964","42.0","","17.3","","41%"
"5/1964","05-May-1964","16.6","","5.4","","33%"
"2/1965","02-Feb-1965","42.6","","18.6","","44%"
"3/1965","25-Feb-1965","38.7","","17.8","","46%"
"4/1965","31-Mar-1965","39.7","","19.2","","48%"
"5/1965","28-Apr-1965","37.0","","18.7","","51%"
"2/1966","27-Jan-1966","59.0","","23.9","","41%"
"3/1966","28-Feb-1966","84.4","","29.4","","35%"
"4/1966","30-Mar-1966","72.5","","32.4","","45%"
"5/1966","02-May-1966","30.6","","15.8","","52%"
"2/1967","02-Feb-1967","67.8","","23.4","","35%"
"3/1967","28-Feb-1967","57.2","","22.2","","39%"
"4/1967","29-Mar-1967","78.6","","31.2","","40%"
"5/1967","02-May-1967","103.7","","43.1","","42%"
"6/1967","31-May-1967","40.0","","19.1","","48%"
"2/1968","06-Feb-1968","50.9","","18.2","","36%"
"3/1968","27-Feb-1968","39.5","","17.6","","45%"
"4/1968","02-Apr-1968","38.1","","18.7","","49%"
"5/1968","29-Apr-1968","16.0","","9.1","","57%"
"2/1969","29-Jan-1969","85.2","","30.7","","36%"
"3/1969","03-Mar-1969","118.8","","45.5","","38%"
"4/1969","26-Mar-1969","99.2","","45.6","","46%"
"5/1969","01-May-1969","68.2","","35.0","","51%"
"2/1970","29-Jan-1970","72.5","","22.7","","31%"
"3/1970","03-Mar-1970","70.1","","31.5","","45%"
"4/1970","27-Mar-1970","61.4","","31.8","","52%"
"5/1970","04-May-1970","47.2","","25.6","","54%"
"2/1971","28-Jan-1971","49.6","","23.4","","47%"
"4/1971","31-Mar-1971","70.7","","30.3","","43%"
"5/1971","27-Apr-1971","64.7","","30.4","","47%"
"2/1972","31-Jan-1972","68.1","","26.1","","38%"
"3/1972","03-Mar-1972","74.5","","31.5","","42%"
"4/1972","04-Apr-1972","49.0","","24.5","","50%"
"5/1972","03-May-1972","43.5","","21.8","","50%"
"2/1973","01-Feb-1973","49.6","","18.9","","38%"
"3/1973","02-Mar-1973","85.3","","31.0","","36%"
"4/1973","02-Apr-1973","93.7","","40.3","","43%"
"5/1973","27-Apr-1973","61.6","","31.8","","52%"
"2/1974","25-Jan-1974","61.9","","28.8","","47%"
"3/1974","04-Mar-1974","99.8","","39.8","","40%"
"4/1974","20-Mar-1974","97.8","","42.2","","43%"
"5/1974","30-Apr-1974","101.9","","51.7","","51%"
"2/1975","29-Jan-1975","40.2","","13.8","","34%"
"3/1975","25-Feb-1975","76.2","","28.8","","38%"
"4/1975","28-Mar-1975","120.7","","49.0","","41%"
"5/1975","28-Apr-1975","110.0","","51.8","","47%"
"6/1975","29-May-1975","56.4","","29.0","","51%"
"2/1976","26-Jan-1976","26.5","","9.8","","37%"
"3/1976","25-Feb-1976","37.2","","12.2","","33%"
"4/1976","26-Mar-1976","45.8","","18.7","","41%"
"5/1976","29-Apr-1976","50.4","","22.5","","45%"
"2/1977","27-Jan-1977","14.0","","4.3","","31%"
"3/1977","25-Feb-1977","27.4","","7.8","","28%"
"4/1977","30-Mar-1977","33.6","","11.4","","34%"
"5/1977","28-Apr-1977","3.0","","1.3","","43%"
"2/1978","27-Jan-1978","84.1","","34.6","","41%"
"3/1978","28-Feb-1978","95.1","","44.3","","47%"
"4/1978","29-Mar-1978","93.6","","48.1","","51%"
"5/1978","28-Apr-1978","99.0","","54.0","","55%"
"6/1978","01-Jun-1978","43.8","","26.2","","60%"
"2/1979","01-Feb-1979","23.5","","8.3","","35%"
"3/1979","27-Feb-1979","54.6","","19.0","","35%"
"4/1979","30-Mar-1979","60.7","","24.6","","41%"
"5/1979","01-May-1979","45.2","","22.2","","49%"
"2/1980","25-Jan-1980","36.8","","15.0","","41%"
"3/1980","22-Feb-1980","68.5","","30.0","","44%"
"4/1980","26-Mar-1980","67.6","","28.8","","43%"
"5/1980","29-Apr-1980","41.9","","21.4","","51%"
"2/1981","30-Jan-1981","47.1","","14.1","","30%"
"3/1981","02-Mar-1981","44.1","","17.4","","39%"
"4/1981","24-Mar-1981","48.4","","20.1","","42%"
"5/1981","28-Apr-1981","26.0","","12.6","","48%"
"2/1982","01-Feb-1982","55.8","","21.5","","39%"
"3/1982","24-Feb-1982","47.3","","21.5","","45%"
"4/1982","09-Apr-1982","99.2","","38.7","","39%"
"5/1982","30-Apr-1982","71.3","","34.3","","48%"
"2/1983","01-Feb-1983","89.4","","34.9","","39%"
"3/1983","04-Mar-1983","148.7","","60.4","","41%"
"4/1983","04-Apr-1983","157.9","","72.9","","46%"
"5/1983","02-May-1983","158.8","","79.9","","50%"
"6/1983","27-May-1983","111.7","","62.9","","56%"
"2/1984","27-Jan-1984","52.8","","24.4","","46%"
"3/1984","29-Feb-1984","67.4","","29.8","","44%"
"4/1984","29-Mar-1984","63.5","","29.3","","46%"
"5/1984","04-May-1984","52.1","","26.8","","51%"
"2/1985","30-Jan-1985","48.7","","19.9","","41%"
"3/1985","26-Feb-1985","53.9","","23.8","","44%"
"4/1985","29-Mar-1985","75.9","","30.4","","40%"
"5/1985","30-Apr-1985","17.6","","9.8","","56%"
"2/1986","30-Jan-1986","41.7","","16.3","","39%"
"3/1986","26-Feb-1986","75.7","","35.0","","46%"
"4/1986","31-Mar-1986","64.5","","34.2","","53%"
"5/1986","28-Apr-1986","43.4","","24.4","","56%"
"2/1987","03-Feb-1987","41.6","","13.4","","32%"
"3/1987","27-Feb-1987","51.9","","18.3","","35%"
"4/1987","27-Mar-1987","78.5","","30.5","","39%"
"5/1987","30-Apr-1987","24.1","","10.8","","45%"
"2/1988","26-Jan-1988","53.9","","21.2","","39%"
"3/1988","26-Feb-1988","42.1","","19.5","","46%"
"4/1988","30-Mar-1988","27.7","","13.6","","49%"
"5/1988","29-Apr-1988","9.6","","3.9","","41%"
"2/1989","31-Jan-1989","40.8","","15.0","","37%"
"3/1989","01-Mar-1989","42.0","","15.8","","38%"
"4/1989","29-Mar-1989","60.2","","27.2","","45%"
"5/1989","28-Apr-1989","28.2","","13.1","","46%"
"2/1990","29-Jan-1990","23.0","","7.7","","33%"
"3/1990","28-Feb-1990","31.8","","13.2","","42%"
"4/1990","02-Apr-1990","19.6","","8.5","","43%"
"5/1990","01-May-1990","0.0","","0.0","","0%"
"2/1991","31-Jan-1991","6.4","","2.3","","36%"
"3/1991","28-Feb-1991","11.7","","4.3","","37%"
"4/1991","27-Mar-1991","65.9","","21.0","","32%"
"5/1991","02-May-1991","35.1","","15.7","","45%"
"2/1992","31-Jan-1992","29.3","","10.4","","35%"
"3/1992","27-Feb-1992","65.9","","27.1","","41%"
"4/1992","31-Mar-1992","69.5","","33.5","","48%"
"5/1992","30-Apr-1992","27.5","","13.8","","50%"
"2/1993","28-Jan-1993","80.3","","26.2","","33%"
"3/1993","26-Feb-1993","98.6","","26.6","","27%"
"4/1993","30-Mar-1993","70.9","","36.0","","51%"
"5/1993","30-Apr-1993","67.5","","36.0","","53%"
"2/1994","31-Jan-1994","42.1","","15.1","","36%"
"3/1994","01-Mar-1994","58.1","","23.9","","41%"
"4/1994","31-Mar-1994","39.9","","21.2","","53%"
"5/1994","29-Apr-1994","16.3","","7.0","","43%"
"2/1995","30-Jan-1995","105.4","","46.8","","44%"
"3/1995","28-Feb-1995","79.2","","38.9","","49%"
"4/1995","30-Mar-1995","116.5","","62.1","","53%"
"5/1995","02-May-1995","105.3","","52.0","","49%"
"2/1996","31-Jan-1996","64.7","","21.9","","34%"
"3/1996","01-Mar-1996","72.6","","24.4","","34%"
"4/1996","28-Mar-1996","62.1","","26.6","","43%"
"5/1996","30-Apr-1996","37.7","","21.0","","56%"
"2/1997","30-Jan-1997","54.8","","22.0","","40%"
"3/1997","27-Feb-1997","54.3","","22.8","","42%"
"4/1997","31-Mar-1997","39.8","","18.4","","46%"
"5/1997","30-Apr-1997","10.0","","4.9","","49%"
"2/1998","30-Jan-1998","62.0","","28.1","","45%"
"3/1998","02-Mar-1998","178.0","","84.5","","47%"
"4/1998","30-Mar-1998","142.1","","45.4","","32%"
"5/1998","30-Apr-1998","134.4","","76.2","","57%"
"2/1999","29-Jan-1999","58.3","","21.3","","37%"
"3/1999","01-Mar-1999","96.6","","38.0","","39%"
"4/1999","01-Apr-1999","117.2","","50.6","","43%"
"5/1999","30-Apr-1999","84.9","","44.1","","52%"
"2/2000","28-Jan-2000","49.8","","20.5","","41%"
"3/2000","01-Mar-2000","108.0","","43.0","","40%"
"4/2000","31-Mar-2000","87.0","","44.0","","51%"
"5/2000","03-May-2000","61.7","","35.4","","57%"
"2/2001","31-Jan-2001","38.9","","12.2","","31%"
"3/2001","28-Feb-2001","67.8","","22.3","","33%"
"4/2001","02-Apr-2001","48.0","","16.0","","33%"
"5/2001","01-May-2001","32.8","","16.7","","51%"
"2/2002","30-Jan-2002","62.0","","30.5","","49%"
"3/2002","27-Feb-2002","66.1","","33.5","","51%"
"4/2002","29-Mar-2002","33.8","","26.6","","79%"
"5/2002","02-May-2002","34.1","","18.5","","54%"
"2/2003","29-Jan-2003","71.6","","35.3","","49%"
"3/2003","27-Feb-2003","71.2","","40.3","","57%"
"4/2003","27-Mar-2003","81.6","","40.6","","50%"
"5/2003","01-May-2003","119.0","","55.0","","46%"
"2/2004","30-Jan-2004","64.0","","24.1","","38%"
"3/2004","27-Feb-2004","107.0","","45.0","","42%"
"4/2004","31-Mar-2004","76.0","","37.6","","49%"
"5/2004","30-Apr-2004","50.5","","25.4","","50%"
"2/2005","27-Jan-2005","56.5","","23.3","","41%"
"3/2005","24-Feb-2005","64.4","","26.7","","41%"
"4/2005","30-Mar-2005","81.1","","33.8","","42%"
"5/2005","26-Apr-2005","70.2","","35.6","","51%"
"2/2006","31-Jan-2006","82.7","","33.0","","40%"
"3/2006","24-Feb-2006","72.1","","38.1","","53%"
"4/2006","29-Mar-2006","135.0","","51.8","","38%"
"5/2006","27-Apr-2006","128.2","","63.3","","49%"
"2/2007","30-Jan-2007","28.0","","10.6","","38%"
"3/2007","01-Mar-2007","76.0","","24.7","","33%"
"4/2007","29-Mar-2007","36.8","","15.8","","43%"
"5/2007","01-May-2007","6.1","","3.1","","51%"
"2/2008","30-Jan-2008","82.5","","27.0","","33%"
"3/2008","26-Feb-2008","92.0","","33.1","","36%"
"4/2008","27-Mar-2008","72.7","","32.7","","45%"
"5/2008","02-May-2008","54.7","","26.2","","48%"
"2/2009","29-Jan-2009","22.6","","7.1","","31%"
"3/2009","26-Feb-2009","58.8","","17.8","","30%"
"4/2009","27-Mar-2009","68.1","","29.6","","43%"
"5/2009","04-May-2009","39.4","","14.8","","38%"
"4/2010","31-Mar-2010","93.1","","33.0","","35%"
"5/2010","03-May-2010","101.6","","34.3","","34%"
"2/2011","31-Jan-2011","32.7","","14.1","","43%"
"4/2011","30-Mar-2011","118.5","","29.3","","25%"
"5/2011","27-Apr-2011","84.4","","40.6","","48%"
"2/2012","30-Jan-2012","18.5","","8.0","","43%"
"3/2012","28-Feb-2012","18.2","","11.2","","62%"
"4/2012","03-Apr-2012","82.0","","31.2","","38%"
"5/2012","01-May-2012","52.7","","25.8","","49%"
"2/2013","29-Jan-2013","48.5","","19.2","","40%"
"3/2013","27-Feb-2013","51.0","","20.6","","40%"
"4/2013","02-Apr-2013","39.9","","18.4","","46%"
"5/2013","02-May-2013","7.5","","3.9","","52%"
"2/2014","03-Feb-2014","1.0","","0.5","","50%"
"3/2014","27-Feb-2014","13.5","","3.0","","22%"
"4/2014","27-Mar-2014","4.0","","1.5","","38%"
"5/2014","01-May-2014","0.0","","0.0","","0%"
"2/2015","28-Jan-2015","5.5","","3.0","","55%"
"3/2015","02-Mar-2015","18.5","","7.0","","38%"
"4/2015","30-Mar-2015","1.5","","0.5","","33%"
"5/2015","30-Apr-2015","0.0","","0.0","","0%"
"2/2016","27-Jan-2016","70.5","","25.5","","36%"
"3/2016","02-Mar-2016","56.5","","27.5","","49%"
"4/2016","28-Mar-2016","68.5","","27.0","","39%"
"5/2016","03-May-2016","20.5","","12.0","","59%"
"2/2017","30-Jan-2017","61.5","","21.5","","35%"
"3/2017","01-Mar-2017","69.5","","37.5","","54%"
"4/2017","30-Mar-2017","76.5","","33.0","","43%"
"5/2017","26-Apr-2017","76.0","","40.0","","53%"
"2/2018","01-Feb-2018","10.5","","2.5","","24%"
"3/2018","27-Feb-2018","14.5","","4.5","","31%"
"4/2018","02-Apr-2018","24.0","","9.5","","40%"
"5/2018","03-May-2018","1.2","","0.5","","40%"
"2/2019","30-Jan-2019","57.0","","23.5","","41%"
"3/2019","28-Feb-2019","121.5","","47.0","","39%"
"4/2019","28-Mar-2019","116.0","","42.0","","36%"
"5/2019","25-Apr-2019","90.0","","47.0","","52%"
"2/2020","30-Jan-2020","35.0","","15.5","","44%"
"3/2020","02-Mar-2020","29.0","","13.0","","45%"
"4/2020","26-Mar-2020","31.0","","11.0","","35%"
"5/2020","29-Apr-2020","8.0","","3.5","","44%"
"2/2021","02-Feb-2021","44.0","","13.0","","30%"
"3/2021","02-Mar-2021","44.0","","16.5","","38%"
"4/2021","25-Mar-2021","55.0","","20.5","","37%"
"5/2021","28-Apr-2021","15.0","","7.0","","47%"
"2/2022","31-Jan-2022","25.0","","8.5","","34%"
"3/2022","01-Mar-2022","14.0","","6.0","","43%"
"4/2022","01-Apr-2022","1.5","","0.5","","33%"
"5/2022","02-May-2022","1.0","","0.0","","0%"
"2/2023","01-Feb-2023","77.0","","33.0","","43%"
"4/2023","05-Apr-2023","116.0","","45.0","","39%"
"5/2023","04-May-2023","82.0","","43.0","","52%"
