"Date","Measured Date","Depth"," ","W.C."," ","Density"
"2/1948","02-Feb-1948","13.2","","4.2","","32%"
"3/1948","29-Feb-1948","25.0","","10.9","","44%"
"5/1948","05-May-1948","48.9","","23.6","","48%"
"3/1949","27-Feb-1949","59.7","","22.7","","38%"
"4/1949","29-Mar-1949","83.5","","31.4","","38%"
"5/1949","02-May-1949","34.6","","16.3","","47%"
"2/1950","02-Feb-1950","40.6","","14.0","","34%"
"3/1950","01-Mar-1950","41.1","","18.2","","44%"
"4/1950","01-Apr-1950","49.6","","23.8","","48%"
"5/1950","05-May-1950","27.9","","12.4","","44%"
"2/1951","01-Feb-1951","41.5","","15.8","","38%"
"3/1951","28-Feb-1951","55.1","","21.4","","39%"
"4/1951","30-Mar-1951","44.0","","20.4","","46%"
"5/1951","30-Apr-1951","8.3","","2.4","","29%"
"2/1952","01-Feb-1952","98.4","","39.0","","40%"
"3/1952","27-Feb-1952","97.0","","43.0","","44%"
"4/1952","27-Mar-1952","112.2","","52.6","","47%"
"5/1952","03-May-1952","64.6","","32.2","","50%"
"2/1953","24-Jan-1953","66.4","","29.6","","45%"
"3/1953","28-Feb-1953","62.2","","27.9","","45%"
"4/1953","28-Mar-1953","72.8","","34.4","","47%"
"5/1953","25-Apr-1953","53.4","","28.2","","53%"
"2/1954","30-Jan-1954","58.0","","20.6","","36%"
"3/1954","27-Feb-1954","65.8","","28.0","","43%"
"4/1954","31-Mar-1954","73.2","","33.4","","46%"
"5/1954","01-May-1954","38.4","","19.0","","49%"
"2/1955","27-Jan-1955","53.0","","19.0","","36%"
"3/1955","23-Feb-1955","47.5","","19.6","","41%"
"4/1955","04-Apr-1955","41.2","","18.5","","45%"
"5/1955","02-May-1955","39.8","","17.9","","45%"
"2/1956","05-Feb-1956","75.5","","31.0","","41%"
"3/1956","02-Mar-1956","110.9","","40.2","","36%"
"4/1956","30-Mar-1956","84.7","","40.4","","48%"
"5/1956","01-May-1956","51.7","","26.6","","51%"
"2/1957","05-Feb-1957","35.4","","10.3","","29%"
"4/1957","02-Apr-1957","47.9","","20.1","","42%"
"5/1957","01-May-1957","29.1","","14.6","","50%"
"3/1958","26-Feb-1958","83.6","","33.8","","40%"
"4/1958","27-Mar-1958","105.2","","43.0","","41%"
"5/1958","02-May-1958","89.1","","42.8","","48%"
"2/1959","31-Jan-1959","39.8","","16.0","","40%"
"3/1959","24-Feb-1959","79.4","","27.8","","35%"
"4/1959","02-Apr-1959","59.0","","28.0","","47%"
"5/1959","06-May-1959","13.2","","6.7","","51%"
"2/1960","02-Feb-1960","53.0","","14.2","","27%"
"3/1960","24-Feb-1960","53.8","","21.2","","39%"
"4/1960","03-Apr-1960","41.2","","19.9","","48%"
"5/1960","02-May-1960","24.4","","11.6","","48%"
"2/1961","04-Feb-1961","33.7","","13.4","","40%"
"3/1961","02-Mar-1961","44.0","","18.9","","43%"
"4/1961","28-Mar-1961","73.7","","29.6","","40%"
"5/1961","27-Apr-1961","46.4","","21.2","","46%"
"2/1962","28-Jan-1962","40.0","","12.5","","31%"
"4/1962","27-Mar-1962","87.0","","33.9","","39%"
"5/1962","26-Apr-1962","36.9","","17.7","","48%"
"2/1963","28-Jan-1963","1.8","","0.8","","44%"
"3/1963","26-Feb-1963","0.0","","0.0","","0%"
