"Date","Measured Date","Depth"," ","W.C."," ","Density"
"4/1951","28-Mar-1951","78.8","","34.4","","44%"
"4/1952","31-Mar-1952","163.4","","77.6","","47%"
"4/1953","27-Mar-1953","126.5","","51.4","","41%"
"4/1954","27-Mar-1954","93.2","","42.0","","45%"
"4/1955","01-Apr-1955","69.0","","26.6","","39%"
"4/1956","23-Mar-1956","139.8","","58.0","","41%"
"4/1957","03-Apr-1957","71.6","","29.0","","41%"
"4/1958","31-Mar-1958","132.4","","50.6","","38%"
"4/1959","03-Apr-1959","72.2","","29.0","","40%"
"4/1960","05-Apr-1960","77.0","","34.6","","45%"
"2/1961","01-Feb-1961","35.6","","13.2","","37%"
"3/1961","28-Feb-1961","60.6","","21.6","","36%"
"4/1961","29-Mar-1961","110.2","","41.8","","38%"
"5/1961","26-Apr-1961","77.4","","34.6","","45%"
"3/1962","05-Mar-1962","119.4","","37.2","","31%"
"4/1962","03-Apr-1962","95.8","","38.6","","40%"
"5/1962","30-Apr-1962","53.4","","23.0","","43%"
"2/1963","04-Feb-1963","0.0","","0.0","","0%"
"3/1963","04-Mar-1963","1.0","","0.3","","30%"
"4/1963","03-Apr-1963","41.8","","10.4","","25%"
"5/1963","29-Apr-1963","38.8","","16.0","","41%"
"2/1964","01-Feb-1964","94.2","","30.8","","33%"
"3/1964","28-Feb-1964","80.8","","32.4","","40%"
"4/1964","27-Mar-1964","105.0","","41.2","","39%"
"5/1964","04-May-1964","68.8","","30.6","","44%"
"2/1965","27-Jan-1965","90.5","","35.4","","39%"
"3/1965","01-Mar-1965","69.0","","31.6","","46%"
"4/1965","26-Mar-1965","66.4","","29.6","","45%"
"5/1965","30-Apr-1965","40.2","","21.4","","53%"
"2/1966","26-Jan-1966","90.6","","32.6","","36%"
"3/1966","25-Feb-1966","88.2","","31.8","","36%"
"4/1966","31-Mar-1966","107.6","","45.8","","43%"
"5/1966","29-Apr-1966","70.6","","32.4","","46%"
"2/1967","27-Jan-1967","100.2","","29.4","","29%"
"3/1967","27-Feb-1967","79.8","","31.2","","39%"
"4/1967","30-Mar-1967","110.2","","39.2","","36%"
"5/1967","01-May-1967","120.4","","48.0","","40%"
"6/1967","28-May-1967","44.8","","22.4","","50%"
"2/1968","31-Jan-1968","96.2","","29.2","","30%"
"3/1968","28-Feb-1968","59.2","","25.8","","44%"
"4/1968","29-Mar-1968","68.0","","29.8","","44%"
"5/1968","30-Apr-1968","29.6","","14.8","","50%"
"2/1969","03-Feb-1969","161.4","","58.6","","36%"
"3/1969","05-Mar-1969","169.4","","62.4","","37%"
"4/1969","27-Mar-1969","142.6","","64.8","","45%"
"5/1969","28-Apr-1969","115.6","","58.2","","50%"
"6/1969","28-May-1969","29.8","","16.2","","54%"
"2/1970","28-Jan-1970","67.0","","23.0","","34%"
"3/1970","24-Feb-1970","74.0","","27.6","","37%"
"4/1970","26-Mar-1970","63.2","","27.8","","44%"
"5/1970","29-Apr-1970","52.4","","22.6","","43%"
"6/1970","01-Jun-1970","9.0","","4.5","","50%"
"1/1971","05-Jan-1971","91.2","","32.6","","36%"
"2/1971","29-Jan-1971","89.8","","38.8","","43%"
"3/1971","24-Feb-1971","93.2","","39.6","","42%"
"4/1971","01-Apr-1971","137.2","","57.6","","42%"
"5/1971","26-Apr-1971","131.8","","61.8","","47%"
"6/1971","26-May-1971","63.0","","33.6","","53%"
"1/1972","30-Dec-1971","71.4","","22.4","","31%"
"2/1972","26-Jan-1972","86.2","","28.2","","33%"
"3/1972","29-Feb-1972","94.0","","36.6","","39%"
"4/1972","30-Mar-1972","72.8","","30.6","","42%"
"5/1972","01-May-1972","57.2","","26.8","","47%"
