HUC8,WY,WYT
18010208,1931,Critical
18010208,1932,Dry
18010208,1933,Dry
18010208,1934,Dry
18010208,1935,Above Normal
18010208,1936,Wet
18010208,1937,Below Normal
18010208,1938,Wet
18010208,1939,Below Normal
18010208,1940,Wet
18010208,1941,Wet
18010208,1942,Wet
18010208,1943,Wet
18010208,1944,Below Normal
18010208,1945,Below Normal
18010208,1946,Wet
18010208,1947,Above Normal
18010208,1948,Wet
18010208,1949,Below Normal
18010208,1950,Dry
18010208,1951,Wet
18010208,1952,Wet
18010208,1953,Wet
18010208,1954,Wet
18010208,1955,Critical
18010208,1956,Wet
18010208,1957,Wet
18010208,1958,Wet
18010208,1959,Above Normal
18010208,1960,Critical
18010208,1961,Below Normal
18010208,1962,Below Normal
18010208,1963,Above Normal
18010208,1964,Below Normal
18010208,1965,Above Normal
18010208,1966,Below Normal
18010208,1967,Below Normal
18010208,1968,Dry
18010208,1969,Above Normal
18010208,1970,Wet
18010208,1971,Wet
18010208,1972,Above Normal
18010208,1973,Below Normal
18010208,1974,Wet
18010208,1975,Wet
18010208,1976,Dry
18010208,1977,Critical
18010208,1978,Above Normal
18010208,1979,Dry
18010208,1980,Below Normal
18010208,1981,Critical
18010208,1982,Wet
18010208,1983,Wet
18010208,1984,Wet
18010208,1985,Below Normal
18010208,1986,Wet
18010208,1987,Critical
18010208,1988,Critical
18010208,1989,Below Normal
18010208,1990,Critical
18010208,1991,Critical
18010208,1992,Critical
18010208,1993,Above Normal
18010208,1994,Critical
18010208,1995,Wet
18010208,1996,Wet
18010208,1997,Wet
18010208,1998,Wet
18010208,1999,Wet
18010208,2000,Below Normal
18010208,2001,Critical
18010208,2002,Dry
18010208,2003,Above Normal
18010208,2004,Above Normal
18010208,2005,Above Normal
18010208,2006,Wet
18010208,2007,Below Normal
18010208,2008,Dry
18010208,2009,Dry
18010208,2010,Below Normal
18010208,2011,Above Normal
18010208,2012,Below Normal
18010208,2013,Below Normal
18010208,2014,Critical
18010208,2015,Dry
18010208,2016,Above Normal
18010208,2017,Wet
18010208,2018,Below Normal
