,Date,Date,2007,,Date,2007,,Date,2008,,Date,2008,,Date,2009,,Date,2009,,Date,2010,,,2010,,,2011,,,2011,,,2012,,,2012,,,2013,,,2013,,,2014,,,2014,,,2015,,,2015,,,2016,,,2016,,,2017,,,2017,,,2018,,,2018,Date
,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,
0,9/20,9/20/2007,,,9/20/2007,,,9/20/2008,,,9/20/2008,,,9/20/2009,,,9/20/2009,,,9/20/2010,,,9/20/2010,,,9/20/2011,,,9/20/2011,,,9/20/2012,,,9/20/2012,,,9/20/2013,,,9/20/2013,,,9/20/2014,,,9/20/2014,,,9/20/2015,,,9/20/2015,,,9/20/2016,,,9/20/2016,,,9/20/2017,,,9/20/2017,,,9/20/2018,0,,9/20/2018,0,9/20
0,9/21,9/21/2007,,,9/21/2007,,,9/21/2008,,,9/21/2008,,,9/21/2009,,,9/21/2009,,,9/21/2010,,,9/21/2010,,,9/21/2011,,,9/21/2011,,,9/21/2012,,,9/21/2012,,,9/21/2013,,,9/21/2013,,,9/21/2014,,,9/21/2014,,,9/21/2015,,,9/21/2015,,,9/21/2016,,,9/21/2016,,,9/21/2017,,,9/21/2017,,,9/21/2018,0,,9/21/2018,0,9/21
0,9/22,9/22/2007,,,9/22/2007,,,9/22/2008,,,9/22/2008,,,9/22/2009,,,9/22/2009,,,9/22/2010,,,9/22/2010,,,9/22/2011,,,9/22/2011,,,9/22/2012,,,9/22/2012,,,9/22/2013,,,9/22/2013,,,9/22/2014,,,9/22/2014,,,9/22/2015,,,9/22/2015,,,9/22/2016,0,,9/22/2016,0,,9/22/2017,0,,9/22/2017,0,,9/22/2018,0,,9/22/2018,0,9/22
0,9/23,9/23/2007,,,9/23/2007,,,9/23/2008,,,9/23/2008,,,9/23/2009,,,9/23/2009,,,9/23/2010,,,9/23/2010,,,9/23/2011,0,,9/23/2011,0,,9/23/2012,,,9/23/2012,,,9/23/2013,,,9/23/2013,,,9/23/2014,,,9/23/2014,,,9/23/2015,,,9/23/2015,,,9/23/2016,0,,9/23/2016,0,,9/23/2017,0,,9/23/2017,0,,9/23/2018,0,,9/23/2018,0,9/23
0,9/24,9/24/2007,,,9/24/2007,,,9/24/2008,,,9/24/2008,,,9/24/2009,,,9/24/2009,,,9/24/2010,,,9/24/2010,,,9/24/2011,6,,9/24/2011,0,,9/24/2012,,,9/24/2012,,,9/24/2013,,,9/24/2013,,,9/24/2014,,,9/24/2014,,,9/24/2015,,,9/24/2015,,,9/24/2016,0,,9/24/2016,0,,9/24/2017,0,,9/24/2017,0,,9/24/2018,0,,9/24/2018,0,9/24
0,9/25,9/25/2007,,,9/25/2007,,,9/25/2008,,,9/25/2008,,,9/25/2009,,,9/25/2009,,,9/25/2010,,,9/25/2010,,,9/25/2011,17,,9/25/2011,0,,9/25/2012,,,9/25/2012,,,9/25/2013,,,9/25/2013,,,9/25/2014,,,9/25/2014,,,9/25/2015,,,9/25/2015,,,9/25/2016,0,,9/25/2016,0,,9/25/2017,0,,9/25/2017,0,,9/25/2018,0,,9/25/2018,0,9/25
0,9/26,9/26/2007,,,9/26/2007,,,9/26/2008,,,9/26/2008,,,9/26/2009,,,9/26/2009,,,9/26/2010,,,9/26/2010,,,9/26/2011,8,,9/26/2011,0,,9/26/2012,0,,9/26/2012,0,,9/26/2013,,,9/26/2013,,,9/26/2014,0,,9/26/2014,0,,9/26/2015,,,9/26/2015,,,9/26/2016,0,,9/26/2016,0,,9/26/2017,1,,9/26/2017,0,,9/26/2018,0,,9/26/2018,0,9/26
0,9/27,9/27/2007,,,9/27/2007,,,9/27/2008,,,9/27/2008,,,9/27/2009,,,9/27/2009,,,9/27/2010,,,9/27/2010,,,9/27/2011,13,,9/27/2011,0,,9/27/2012,0,,9/27/2012,0,,9/27/2013,,,9/27/2013,,,9/27/2014,0,,9/27/2014,0,,9/27/2015,,,9/27/2015,,,9/27/2016,0,,9/27/2016,0,,9/27/2017,2,,9/27/2017,0,,9/27/2018,0,,9/27/2018,0,9/27
0,9/28,9/28/2007,,,9/28/2007,,,9/28/2008,,,9/28/2008,,,9/28/2009,,,9/28/2009,,,9/28/2010,,,9/28/2010,,,9/28/2011,14,,9/28/2011,0,,9/28/2012,0,,9/28/2012,0,,9/28/2013,,,9/28/2013,,,9/28/2014,0,,9/28/2014,0,,9/28/2015,,,9/28/2015,,,9/28/2016,0,,9/28/2016,0,,9/28/2017,6,,9/28/2017,0,,9/28/2018,,,9/28/2018,,9/28
0,9/29,9/29/2007,,,9/29/2007,,,9/29/2008,,,9/29/2008,,,9/29/2009,,,9/29/2009,,,9/29/2010,,,9/29/2010,,,9/29/2011,25,,9/29/2011,0,,9/29/2012,0,,9/29/2012,0,,9/29/2013,,,9/29/2013,,,9/29/2014,0,,9/29/2014,0,,9/29/2015,,,9/29/2015,,,9/29/2016,0,,9/29/2016,0,,9/29/2017,18,,9/29/2017,0,,9/29/2018,,,9/29/2018,,9/29
0,9/30,9/30/2007,,,9/30/2007,,,9/30/2008,,,9/30/2008,,,9/30/2009,,,9/30/2009,,,9/30/2010,1,,9/30/2010,0,,9/30/2011,15,,9/30/2011,0,,9/30/2012,0,,9/30/2012,0,,9/30/2013,0,,9/30/2013,0,,9/30/2014,0,,9/30/2014,0,,9/30/2015,0,,9/30/2015,0,,9/30/2016,0,,9/30/2016,0,,9/30/2017,15,,9/30/2017,0,,9/30/2018,,,9/30/2018,,9/30
0,10/1,10/1/2007,,,10/1/2007,,,10/1/2008,,,10/1/2008,,,10/1/2009,,,10/1/2009,,,10/1/2010,1,,10/1/2010,0,,10/1/2011,15,,10/1/2011,0,,10/1/2012,0,,10/1/2012,0,,10/1/2013,6,,10/1/2013,0,,10/1/2014,0,,10/1/2014,0,,10/1/2015,0,,10/1/2015,0,,10/1/2016,0,,10/1/2016,0,,10/1/2017,17,,10/1/2017,0,,10/1/2018,,,10/1/2018,,10/1
0,10/2,10/2/2007,,,10/2/2007,,,10/2/2008,,,10/2/2008,,,10/2/2009,,,10/2/2009,,,10/2/2010,3,,10/2/2010,0,,10/2/2011,17,,10/2/2011,0,,10/2/2012,0,,10/2/2012,0,,10/2/2013,53,,10/2/2013,0,,10/2/2014,1,,10/2/2014,0,,10/2/2015,0,,10/2/2015,0,,10/2/2016,0,,10/2/2016,0,,10/2/2017,15,,10/2/2017,0,,10/2/2018,,,10/2/2018,,10/2
0,10/3,10/3/2007,,,10/3/2007,,,10/3/2008,,,10/3/2008,,,10/3/2009,,,10/3/2009,,,10/3/2010,7,,10/3/2010,0,,10/3/2011,68,,10/3/2011,0,,10/3/2012,0,,10/3/2012,0,,10/3/2013,154,,10/3/2013,0,,10/3/2014,0,,10/3/2014,0,,10/3/2015,0,,10/3/2015,0,,10/3/2016,0,,10/3/2016,0,,10/3/2017,8,,10/3/2017,0,,10/3/2018,,,10/3/2018,,10/3
0,10/4,10/4/2007,,,10/4/2007,,,10/4/2008,,,10/4/2008,,,10/4/2009,,,10/4/2009,,,10/4/2010,8,,10/4/2010,0,,10/4/2011,51,,10/4/2011,0,,10/4/2012,0,,10/4/2012,0,,10/4/2013,94,,10/4/2013,0,,10/4/2014,0,,10/4/2014,0,,10/4/2015,0,,10/4/2015,0,,10/4/2016,0,,10/4/2016,0,,10/4/2017,13,,10/4/2017,0,,10/4/2018,,,10/4/2018,,10/4
