Location_ID,Location_Descrip,Pt1_Description,Latitude_pt1,Longitude_pt1,Pt2_Description,Latitude_pt2,Longitude_pt2,Status,Obs_Date,Obs_Time,Obs_source,Notes
Tailings of reach 16,several hundred yards north of the Alexander property in the tailings of reach 16,Tailings of Reach 16,41.347359,-122.825016,Tailings transition to non-tailings?,41.373615,-122.826123,Dry,11/18/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
Tailings to Hwy 3 bridge,downstream of Alexander property in tailings reach of 16 to just downstream of the hwy 3 bridge in Ft Jones,Tailings transition to non-tailings?,41.373615,-122.826123,Hwy 3 bridge,41.597694,-122.854267,Hydrated,11/18/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
Hwy 3 bridge to end of reach 9,just a little ways downstream from the hwy 3 bridge in Fort Jones to downstream from the Menne property on  the downstream end of reach 9,Scott R Hwy 3 bridge in Ft Jones,41.597694,-122.854267,Quartz Valley bridge,41.628975,-122.956709,Dry,11/18/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
Quartz Valley Bridge to FJ gauge,from the Quartz Valley bridge (presumably) all the way to the confluence with the Klamath,Quartz Valley bridge,41.628975,-122.956709,Fort Jones gauge,41.640756,-123.014925,Hydrated,11/18/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
shackleford from Mill Creek confluence to Scott R,shackleford from Mill Creek confluence to Scott R,Mill-Shackleford confluence,41.597522,-122.961792,Shackleford-Scott confluence,41.634359,-122.962895,Hydrated,11/18/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
Kidder at Hwy 3 Ft Jones,,Kidder at Hwy 3 Ft Jones,41.590125,-122.85658,,,,Dry,11/18/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
Kidder at Serpa Lane bridge,,Kidder at Serpa Lane bridge,41.576907,-122.860032,,,,Dry,11/18/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
Kidder at Hwy 3 bridge greenview,,Kidder at Hwy 3 bridge greenview,41.543422,-122.904697,,,,Flowing,11/18/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
Patterson at Hwy 3 bridge,,Patterson at Hwy 3 bridge,41.502646,-122.906601,,,,Flowing,11/18/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
Etna at Hwy 3 bridge Etna,,Etna at Hwy 3 bridge Etna,41.457392,-122.87906,,,,Flowing,11/18/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
Etna at Hwy 3 bridge Etna,,Etna at Hwy 3 bridge Etna,41.457392,-122.87906,,,,Flowing,11/16/2020,,"Chris Voigt email, 2021.11.19, to Siskiyou RCD and other stakeholders",
Alexander property on reach 16,200-400 yards on Alexander property on reach 16,Tailings of Reach 16,41.347359,-122.825016,Tailings transition to non-tailings?,41.373615,-122.826123,Dry,11/16/2020,,"Chris Voigt email, 2021.11.18, to Siskiyou RCD and other stakeholders",Location is approximate
Above Alexander property on reach 16,,Above Alexander property on reach 16,41.347359,-122.825016,,,,Hydrated,11/16/2020,,"Chris Voigt email, 2021.11.18, to Siskiyou RCD and other stakeholders",Location is approximate
Below Alexander property on reach 16,,Below Alexander property on reach 16,41.373615,-122.826123,,,,Hydrated,11/16/2020,,"Chris Voigt email, 2021.11.18, to Siskiyou RCD and other stakeholders",Location is approximate
