water_year,hbf_total
1942,98.0258011121319
1943,91.1109430739013
1944,73.5326172762353
1945,83.5237044219905
1946,95.7161220334871
1947,90.6837132400994
1948,86.5688402868723
1949,67.9242143116681
1950,72.3468796137134
1951,107.158820089212
1952,100.634356685599
1953,78.2517431907831
1954,107.162217437405
1955,110.790058242507
1956,67.5662887155419
1957,75.631903270279
1958,80.3753997160822
1959,91.019708427496
1960,63.3605754458854
1961,92.6976177363783
1962,91.3809153776003
1963,111.875238421279
1964,105.186105010464
1965,72.5723330455982
1966,83.67006855497
1967,94.4640108109952
1968,73.3851567497083
1969,78.3258959375605
1970,80.7390072260978
1971,101.216064837538
1972,75.9611436794177
1973,86.16679459551
1974,94.4922972214045
1975,70.0455542044
1976,104.261340225814
1977,82.9806015950598
1978,65.9164864363434
1979,87.8271000937409
1980,89.1662193253394
1981,83.9733112104851
1982,54.1592950324632
1983,96.1365015748539
1984,111.306389622758
1985,99.8201295653723
1986,68.6901185840524
1987,72.5159717331715
1988,80.3112251225349
1989,80.6519895080832
1990,106.675380408724
1991,52.8063781789259
1992,56.7760454628157
1993,74.1556577091192
1994,84.5336112202316
1995,25.7013789380742
1996,85.7111507702511
1997,79.1448361591769
1998,83.2546173589604
1999,101.207192992759
2000,80.3395333293979
2001,60.6324827821684
2002,-10.3580883292414
2003,87.0445164584753
2004,88.1279981409075
2005,88.3589456931903
2006,75.3275478322679
2007,90.3291730498198
2008,54.7216481607118
2009,83.6348042710779
2010,27.4628314746314
2011,96.210610667928
2012,75.9525109632985
2013,81.6923476332043
2014,21.8640229423337
2015,21.7843004115416
2016,-35.8725847121359
2017,80.4113410722713
2018,91.6926512258406
2019,24.8129311771609
2020,84.344163698425
2021,-12.00072435635
