"","year","era","jan_flow","feb_flow","mar_flow","apr_flow","may_flow","jun_flow","jul_flow","aug_flow","sep_flow","oct_flow","nov_flow","dec_flow","sep_oct_flow","sep_nov_flow","MBL_max_wc_mm","MBL_jday_of_max","SDA_max_wc_mm","SDA_jday_of_max","BXC_max_wc_mm","BXC_jday_of_max","MBV_max_wc_mm","MBV_jday_of_max","SGN_max_wc_mm","SGN_jday_of_max","FJN_max_wc_mm","FJN_jday_of_max","FCC_max_wc_mm","FCC_jday_of_max","SCK_max_wc_mm","SCK_jday_of_max","CAL_max_wc_mm","CAL_jday_of_max","MB3_max_wc_mm","MB3_jday_of_max","LOG_max_wc_mm","LOG_jday_of_max","SCT_max_wc_mm","SCT_jday_of_max","QTZ_max_wc_mm","QTZ_jday_of_max","DYM_max_wc_mm","DYM_jday_of_max","ETN_max_wc_mm","ETN_jday_of_max","SNB_max_wc_mm","SNB_jday_of_max","CHA_max_wc_mm","CHA_jday_of_max","SWJ_max_wc_mm","SWJ_jday_of_max","DDC_max_wc_mm","DDC_jday_of_max","SRU_max_wc_mm","SRU_jday_of_max","US1CASK0001_oct_apr_mm","US1CASK0001_jday_of_median","US1CASK0002_oct_apr_mm","US1CASK0002_jday_of_median","US1CASK0004_oct_apr_mm","US1CASK0004_jday_of_median","US1CASK0005_oct_apr_mm","US1CASK0005_jday_of_median","US1CASK0026_oct_apr_mm","US1CASK0026_jday_of_median","USC00041316_oct_apr_mm","USC00041316_jday_of_median","USC00042899_oct_apr_mm","USC00042899_jday_of_median","USC00043176_oct_apr_mm","USC00043176_jday_of_median","USC00043182_oct_apr_mm","USC00043182_jday_of_median","USC00043614_oct_apr_mm","USC00043614_jday_of_median","USC00048025_oct_apr_mm","USC00048025_jday_of_median","USC00049866_oct_apr_mm","USC00049866_jday_of_median","USR0000CBLQ_oct_apr_mm","USR0000CBLQ_jday_of_median","USR0000CBZE_oct_apr_mm","USR0000CBZE_jday_of_median","USR0000CCAL_oct_apr_mm","USR0000CCAL_jday_of_median","USR0000CCOL_oct_apr_mm","USR0000CCOL_jday_of_median","USR0000CQUA_oct_apr_mm","USR0000CQUA_jday_of_median","interp_cal_fj_oct_apr_mm","interp_cal_fj_jday_of_median","et0_oct_apr","wy_day_exceed_10_cfs","wy_day_exceed_20_cfs","wy_day_exceed_40_cfs","wy_day_exceed_50_cfs","wy_day_exceed_75_cfs","wy_day_exceed_100_cfs","cum_ppt_on_first_day_qspill","min_30day_flow_jul_dec_cal_yr","min_30day_flow_jday","min_fall_flow","dwr_wyt","dwr_wyt_lag1","dwr_wyt_col","dwr_wyt_lag1_col","aprWL_415635N1228315W001","aprWL_416295N1228926W001","springWL_415635N1228315W001","springWL_416295N1228926W001","SWJ_max_wc_mm_last_year","USC00043182_oct_apr_mm_last_year","springWL_416295N1228926W001_last_year","springWL_415635N1228315W001_last_year"
"1",1942,1,87646039.7511518,101366422.48129,46210875.3578538,57631479.2423552,96669001.8604151,77639555.1993929,22290728.789994,6796580.46082793,4978776.54347906,5047280.59420015,45197994.0364777,108407660.266121,10026057.1376792,55224051.1741569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,79,NA,NA,NA,NA,440.2,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391.382936224517,79,NA,0,0,0,0,64,69,NA,NA,NA,NA,"Wet",5,"dodgerblue",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1943,1,135525478.058712,96223725.530728,92201559.1241041,112371108.914984,68281412.5562443,49562680.696707,17749888.8564819,7019218.62567146,4751245.23215545,6052822.19585612,12286690.8114751,10412615.7096053,10804067.4280116,23090758.2394867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.7,88,NA,NA,NA,NA,470.4,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468.478897269465,87,NA,0,0,0,0,53,54,66.15,4340220.92782892,95,4340220.92782892,"Wet",3,"dodgerblue",NA,NA,NA,NA,NA,NA,443,NA,NA
"3",1944,1,12245099.0663944,17598201.3155995,30428031.3863632,28593101.456334,48261103.7330064,24394781.7764274,8714693.88101839,5678496.49013017,3569550.35721668,3503492.87973563,11261576.6238988,17686277.9522409,7073043.23695232,18334619.8608511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253.4,94,NA,NA,NA,NA,304.6,94,290.9,96,632.3,97,241.9,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,94,NA,0,0,0,0,63,63,53.5,3373824.49801358,96,3373824.49801358,"Below Normal",3,"goldenrod",NA,NA,NA,NA,NA,NA,552.7,NA,NA
"4",1945,1,27413853.1546353,69808074.2580285,30437817.6793233,49457478.0473854,92955103.6820361,39822872.6281124,10079881.7489601,5306617.35764427,3792188.52206022,6118879.67333717,21500485.6334614,82256238.9033462,9911068.19539738,31411553.8288588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.6,103,NA,NA,NA,NA,309.3,99,299,83,926.1,52,267,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.743508371131,107,NA,0,0,0,0,59,59,69.3148442449167,3638054.40793777,87,3638054.40793777,"Below Normal",5,"goldenrod",NA,NA,NA,NA,NA,NA,304.6,NA,NA
"5",1946,1,95144786.7318709,40260809.2380793,60195487.9979159,80771168.9466426,103093703.188757,49132083.8064602,14354045.1993079,7095062.39611267,4709653.48707479,5245453.0266433,24162357.3186237,22124361.8096713,9955106.51371808,34117463.8323418,833.12,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532.8,59,NA,NA,NA,NA,436.5,85,495.2,85,1109.8,87,391.4,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.014844244917,83,NA,0,0,0,0,52,78,67,4499248.18843145,97,4499248.18843145,"Wet",4,"dodgerblue",NA,NA,NA,NA,NA,NA,309.3,NA,NA
"6",1947,1,15376712.8136442,36590949.378021,46807839.2284233,46866556.9861842,39747028.8576712,20069240.2880387,6106646.80713697,3978128.08830317,3004391.93876771,10923949.5167735,11471981.9225422,8746499.33313889,13928341.4555412,25400323.3780833,599.44,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.8,121,NA,NA,NA,NA,346.3,65,366.9,93,764.3,118,235.1,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392.064935439512,118,NA,0,0,0,42,45,45,51.7,2916315.30212631,85,2916315.30212631,"Above Normal",5,"green3",NA,NA,NA,NA,NA,NA,436.5,NA,NA
"7",1948,1,93897034.3794511,25967928.3697724,23805157.625578,51020838.3477702,91061455.994246,90635752.2504793,16861782.7703478,6671805.22558594,5578186.98728858,6850405.07210878,10256035.0222429,22439969.7576363,12428592.0593974,22684627.0816402,731.52,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.44,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.4,99,NA,NA,NA,NA,404.9,96,461.1,97,1006.1,98,381,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.020655759131,98,NA,0,0,0,0,0,41,75.95,5568400.69432843,79,5568400.69432843,"Wet",3,"dodgerblue",NA,NA,NA,NA,NA,NA,346.3,NA,NA
"8",1949,1,12457950.9382778,26168547.3754555,47309386.7426313,83501544.682526,99237903.7624559,32664199.3277587,7799675.48924386,4540839.93351211,3263728.70221183,3616035.24877742,6282800.08041977,7158673.30035368,6879763.95098925,13162564.031409,955.04,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797.56,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.7,73,401.6,72,210.3,67,305.3,68,334.9,67,764.2,75,245,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,73,NA,0,0,0,7,70,88,61.8,3249049.26277159,83,3249049.26277159,"Below Normal",2,"goldenrod",NA,NA,NA,NA,NA,NA,404.9,NA,NA
"9",1950,1,39507264.6801474,43443801.0233699,85855148.1394433,82143696.5343044,85769518.076042,48968163.3993776,11014472.7266549,5406926.86048586,3882711.73194166,53540808.7850102,76068855.1792879,155323148.717106,57423520.5169519,133492375.69624,629.92,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.52,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.8,110,449.4,107,199.6,125,384.7,110,358.4,113,910.1,110,268.6,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.051422064003,110,NA,0,0,0,0,36,38,99.85,3863139.14602135,79,3863139.14602135,"Dry",5,"orangered",NA,NA,NA,NA,NA,NA,305.3,NA,NA
"10",1951,1,82231773.1709458,165677046.668951,58923269.9130957,94371669.5880186,79369282.4801003,38154309.6784059,12286690.8114751,5561060.97460831,4188533.38694651,6282800.08041977,18376211.6059318,79694676.7210255,10471333.4673663,28847545.0732981,614.68,89,NA,NA,NA,NA,1013.46,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.56,59,655.32,92,NA,NA,NA,NA,NA,NA,802.64,87,NA,NA,NA,NA,873.76,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.9,64,800.7,64,502.3,47,637.9,69,687.8,68,1302.8,65,560.3,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596.9,65,NA,0,0,0,0,52,53,48.15,4058865.00522445,88,4058865.00522445,"Wet",5,"dodgerblue",NA,NA,NA,NA,NA,NA,384.7,NA,NA
